,droprate,learning_rates,hidden_dim,v_dim,dev_accuracy,test_accuracy
0,0.6427723185563821,0.00018192155126185873,186,29,0.42410714285714285,0.4148936170212766
1,0.3213818424813243,0.00652630268737882,246,5,0.4375,0.3829787234042553
2,0.7863026922214289,0.00032566276420719823,257,29,0.41964285714285715,0.41134751773049644
3,0.6435813050566087,0.0011552155383433274,104,21,0.39285714285714285,0.40070921985815605
4,0.304227312075055,0.0007650549581389684,222,28,0.42410714285714285,0.46808510638297873
5,0.6244364977104875,0.0005588197575860256,276,25,0.4375,0.36524822695035464
6,0.5276735219597188,0.0018634307354724543,86,20,0.38392857142857145,0.4787234042553192
7,0.2968276583256757,0.004040884125070583,51,13,0.39732142857142855,0.3900709219858156
8,0.37092162757396946,0.00010036379288986232,196,16,0.42857142857142855,0.3971631205673759
9,0.25771255853734965,0.006666021466760657,204,22,0.375,0.4078014184397163
10,0.38337679914029543,0.007619344436145737,148,20,0.375,0.4574468085106383
11,0.5607579078858541,0.0003348546278212449,185,15,0.4419642857142857,0.37943262411347517
12,0.5100316117012118,0.0035410055647840033,103,6,0.375,0.3546099290780142
13,0.44487783757873467,0.00029136554934245436,274,5,0.45089285714285715,0.3900709219858156
14,0.7766247685634382,0.0011717123623023516,178,29,0.4017857142857143,0.425531914893617
15,0.3257514912729429,0.0001964375544126057,158,7,0.45089285714285715,0.3617021276595745
16,0.711893827398832,0.0004903875699409642,185,23,0.4330357142857143,0.425531914893617
17,0.21632811484543923,0.0009959489363338804,73,23,0.42410714285714285,0.3475177304964539
18,0.3960887834060641,0.0008505374126492064,171,5,0.45535714285714285,0.3475177304964539
19,0.48810831048626296,0.00034602191942309686,239,28,0.38839285714285715,0.4432624113475177
20,0.3155630526358888,0.005551960532800109,130,15,0.38392857142857145,0.425531914893617
21,0.2705379428628872,0.009310780332613513,158,14,0.39732142857142855,0.44680851063829785
22,0.6586724980154905,0.005764845882149325,237,21,0.41964285714285715,0.35815602836879434
23,0.5465559771762525,0.000900431140992236,171,8,0.4107142857142857,0.39361702127659576
24,0.2331737816687396,0.003824485709738437,247,7,0.40625,0.36524822695035464
25,0.7316942573098062,0.002047379411770191,108,16,0.39285714285714285,0.43617021276595747
26,0.6015714949889093,0.0009924357219753784,209,12,0.4107142857142857,0.40425531914893614
27,0.2991697172298802,0.0017848947478223847,200,16,0.39732142857142855,0.35106382978723405
28,0.3656758815855805,0.00010584623481780111,242,10,0.41517857142857145,0.3723404255319149
29,0.4066146223189345,0.008034307698470577,260,7,0.36160714285714285,0.4148936170212766
30,0.6968716328858195,0.00029007457109537257,179,11,0.375,0.4148936170212766
31,0.795983400180682,0.0005418223452505324,104,17,0.375,0.42907801418439717
32,0.7855839121825217,0.0009534733870359319,229,14,0.4107142857142857,0.43617021276595747
33,0.2662105866551378,0.0010738557729898818,288,16,0.41964285714285715,0.4432624113475177
34,0.3394259064278846,0.0004521054550820505,104,23,0.4017857142857143,0.3546099290780142
35,0.25911059252652135,0.0015406372387132977,62,24,0.40625,0.375886524822695
36,0.22139604707526878,0.0010057438626648449,114,13,0.4375,0.4148936170212766
37,0.5550194777352688,0.0010924012282048576,69,20,0.4017857142857143,0.4078014184397163
38,0.45917047619325213,0.00011140328642365119,158,20,0.38392857142857145,0.41134751773049644
39,0.20876912202136166,0.0004925845909258447,246,25,0.45535714285714285,0.40070921985815605
40,0.35829517501046004,0.0001541704897209843,55,23,0.40625,0.4397163120567376
41,0.7855064741025266,0.00011321432072441963,262,11,0.375,0.450354609929078
42,0.6879745729106385,0.0005676639743219058,226,7,0.42410714285714285,0.41843971631205673
43,0.32952143414470747,0.007752077022674589,182,29,0.42410714285714285,0.42907801418439717
44,0.38235653724377505,0.002249863170447817,123,9,0.3794642857142857,0.42907801418439717
45,0.6321310002061149,0.00011237760549825707,247,26,0.41517857142857145,0.4574468085106383
46,0.4161504747171192,0.0042368612380290875,219,8,0.4330357142857143,0.38652482269503546
47,0.5882590757706412,0.001789883533196701,280,27,0.39285714285714285,0.3723404255319149
48,0.3740363222525662,0.00032557648756973567,66,25,0.4419642857142857,0.34397163120567376
49,0.5579747958064237,0.0009134599073820674,252,17,0.42410714285714285,0.3900709219858156
50,0.7512495249147075,0.0014491874139361614,167,7,0.4375,0.3723404255319149
51,0.4963651578102363,0.00015287459016861683,148,11,0.38392857142857145,0.4574468085106383
52,0.36587036674564066,0.0001274802208687946,255,29,0.4419642857142857,0.35106382978723405
53,0.30567895023686037,0.0038200151580026825,138,27,0.36160714285714285,0.43617021276595747
54,0.4337447269013966,0.0076556181350837,242,13,0.42410714285714285,0.33687943262411346
55,0.39780246335208447,0.00024223914800109488,87,20,0.42857142857142855,0.4148936170212766
56,0.44408106125028574,0.00015251740336814812,285,27,0.44642857142857145,0.42907801418439717
57,0.6815595316529212,0.00011973639511739463,81,25,0.3794642857142857,0.4078014184397163
58,0.6971154366662091,0.0005971002071701196,199,8,0.4642857142857143,0.40425531914893614
59,0.5098368612547519,0.00446385530978068,285,16,0.41517857142857145,0.3900709219858156
